region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state,posting_date,combined,car_msrp
mankato,13999,2017,nissan,rogue,excellent,4 cylinders,gas,73320,clean,automatic,KNMAT2MTXHP520592,fwd,,SUV,silver,mn,2021-04-16 01:00:16+00:00,2017.0 nissan rogue,23820
pittsburgh,15976,2017,nissan,rogue s,excellent,4 cylinders,gas,47663,,other,JN8AT2MV8HW006820,4wd,,SUV,,pa,2021-04-16 15:01:56+00:00,2017.0 nissan rogue s,23820
new york city,12995,2017,nissan,rogue,,,gas,85259,clean,automatic,JN8AT2MV6HW277732,4wd,,wagon,black,ny,2021-05-03 17:07:06+00:00,2017.0 nissan rogue,23820
vermont,16995,2017,nissan,rogue,excellent,4 cylinders,gas,82032,clean,automatic,KNMAT2MV2HP601216,4wd,mid-size,SUV,silver,vt,2021-04-27 16:06:27+00:00,2017.0 nissan rogue,23820
billings,19450,2017,nissan,rogue,,4 cylinders,gas,59642,clean,automatic,KNMAT2MVXHP568658,,,SUV,blue,mt,2021-04-14 16:05:26+00:00,2017.0 nissan rogue,23820
fort collins / north CO,16259,2017,nissan,rogue s,good,,other,53657,clean,automatic,5N1AT2MT2HC842064,fwd,,other,black,co,2021-05-02 00:50:20+00:00,2017.0 nissan rogue s,23820
tucson,20995,2017,nissan,rogue,excellent,4 cylinders,gas,36000,clean,automatic,JN1BJ1CP1HW021407,fwd,mid-size,SUV,silver,az,2021-04-29 06:00:57+00:00,2017.0 nissan rogue,23820
sarasota-bradenton,15900,2017,nissan,rogue,excellent,4 cylinders,gas,63372,clean,automatic,KNMAT2MT6HP587335,fwd,,SUV,silver,fl,2021-04-29 09:00:43+00:00,2017.0 nissan rogue,23820
south jersey,16999,2017,nissan,rogue,excellent,4 cylinders,gas,57501,clean,automatic,KNMAT2MV5HP614235,4wd,full-size,SUV,custom,nj,2021-04-23 14:06:49+00:00,2017.0 nissan rogue,23820
north jersey,10995,2017,toyota,camry se auto (natl),,4 cylinders,,132781,clean,automatic,4T1BF1FK9HU399139,fwd,,sedan,grey,nj,2021-04-29 22:10:13+00:00,2017.0 toyota camry se auto (natl),23840
phoenix,14991,2017,jeep,patriot sport se,good,4 cylinders,gas,78579,clean,automatic,1C4NJPBA9HD201689,fwd,,other,black,az,2021-05-03 23:21:14+00:00,2017.0 jeep patriot sport se,23860
nashville,23590,2017,nissan,frontier king cab sv,good,,gas,37091,clean,other,1N6BD0CT1HN724133,fwd,,pickup,red,tn,2021-05-02 18:50:52+00:00,2017.0 nissan frontier king cab sv,23910
raleigh / durham / CH,17590,2017,buick,encore sport touring,good,,gas,30653,clean,other,KL4CJ1SB0HB236723,fwd,,other,white,nc,2021-05-03 14:41:04+00:00,2017.0 buick encore sport touring,23915
louisville,15800,2017,buick,encore,,4 cylinders,gas,53797,clean,automatic,KL4CJASB0HB088895,fwd,,SUV,grey,ky,2021-05-01 15:37:54+00:00,2017.0 buick encore,23915
nashville,16990,2017,volkswagen,tiguan limited 2.0t,good,,gas,35404,clean,other,WVGAV7AX8HK047413,fwd,,other,silver,tn,2021-04-22 17:50:48+00:00,2017.0 volkswagen tiguan limited 2.0t,23970
denver,17590,2017,volkswagen,tiguan limited 2.0t,good,,other,31723,clean,other,WVGAV7AX8HK048058,fwd,,other,,co,2021-05-02 15:11:04+00:00,2017.0 volkswagen tiguan limited 2.0t,23970
columbus,26500,2017,jeep,wrangler,,,other,49996,clean,automatic,1C4BJWDG1HL719476,4wd,,SUV,,oh,2021-04-16 18:09:21+00:00,2017.0 jeep wrangler,23995
lexington,13900,2017,chevrolet,equinox,,,gas,94086,clean,automatic,2GNFLEEK1H6161346,,,SUV,,ky,2021-04-14 17:15:36+00:00,2017.0 chevrolet equinox,23995
inland empire,41650,2017,jeep,wrangler,,,gas,41417,clean,automatic,1C4HJWEG5HL518074,4wd,,SUV,white,ca,2021-05-02 03:29:34+00:00,2017.0 jeep wrangler,23995
rapid city / west SD,33901,2017,jeep,wrangler unlimited,excellent,6 cylinders,gas,65241,clean,automatic,1C4BJWEG0HL628682,4wd,mid-size,SUV,silver,sd,2021-04-13 17:37:54+00:00,2017.0 jeep wrangler unlimited,23995
kennewick-pasco-richland,39624,2017,dodge,durango r/t awd gas suv,,,gas,22920,clean,automatic,1C4SDJCT0HC883388,4wd,,SUV,white,wa,2021-04-29 00:05:57+00:00,2017.0 dodge durango r/t awd gas suv,24000
albuquerque,19990,2017,nissan,rogue sport sv utility 4d,good,,gas,21466,clean,other,JN1BJ1CR5HW142944,,,hatchback,black,nm,2021-04-28 14:21:09+00:00,2017.0 nissan rogue sport sv utility 4d,24000
colorado springs,19590,2017,toyota,camry se sedan 4d,good,,gas,31592,clean,other,4T1BF1FK6HU415488,fwd,,sedan,,co,2021-05-02 17:00:59+00:00,2017.0 toyota camry se sedan 4d,24000
waterloo / cedar falls,23258,2017,ford,transit connect,excellent,4 cylinders,gas,27699,clean,automatic,NM0GE9G79H1327328,fwd,,wagon,white,ia,2021-04-29 17:31:19+00:00,2017.0 ford transit connect,24005
milwaukee,14495,2017,ford,transit connect,excellent,,gas,117593,clean,automatic,NM0LS6E75H1313984,fwd,,mini-van,white,wi,2021-04-23 21:01:56+00:00,2017.0 ford transit connect,24005
"kansas city, MO",19990,2017,honda,accord lx-s coupe 2d,good,,gas,10736,clean,automatic,1HGCT1B37HA006130,fwd,,coupe,white,ks,2021-05-02 17:31:16+00:00,2017.0 honda accord lx-s coupe 2d,24025
mcallen / edinburg,18275,2017,gmc,terrain sl,good,,gas,53749,clean,automatic,2GKALLEK2H6313047,fwd,,other,black,tx,2021-05-03 11:30:25+00:00,2017.0 gmc terrain sl,24070
anchorage / mat-su,21194,2017,mini,cooper clubman,,4 cylinders,gas,45082,clean,manual,WMWLU5C58H2C46204,4wd,,sedan,silver,ak,2021-04-25 00:30:53+00:00,2017.0 mini cooper clubman,24100
gadsden-anniston,15990,2017,hyundai,sonata sport sedan 4d,good,,gas,55105,clean,other,5NPE34AFXHH554118,fwd,,sedan,black,al,2021-04-19 15:40:54+00:00,2017.0 hyundai sonata sport sedan 4d,24250
grand island,20374,2017,chevrolet,malibu,,4 cylinders,gas,14935,clean,automatic,1G1ZE5ST4HF246189,fwd,,sedan,silver,ne,2021-04-14 15:36:09+00:00,2017.0 chevrolet malibu,24290
jersey shore,22990,2017,buick,regal sport touring sedan,good,,other,16707,clean,other,2G4GL5EX8H9178969,fwd,,sedan,black,nj,2021-05-03 19:31:31+00:00,2017.0 buick regal sport touring sedan,24330
modesto,24995,2017,toyota,prius,,,hybrid,8200,clean,automatic,JTDKARFU0H3535845,fwd,,hatchback,red,ca,2021-05-01 01:14:21+00:00,2017.0 toyota prius,24370
orange county,17995,2017,toyota,prius,good,4 cylinders,hybrid,51750,clean,automatic,JTDKARFP0H3004395,,,coupe,blue,ca,2021-04-28 04:10:41+00:00,2017.0 toyota prius,24370
reno / tahoe,10995,2017,mitsubishi,outlander,,,gas,127827,clean,automatic,JA4AZ2A30HZ032897,4wd,,wagon,black,ca,2021-04-27 14:58:25+00:00,2017.0 mitsubishi outlander,24390
santa barbara,20990,2017,honda,hr-v ex-l w/navigation,good,,other,19622,clean,automatic,3CZRU5H70HM726129,,,hatchback,white,ca,2021-04-05 14:51:26+00:00,2017.0 honda hr-v ex-l w/navigation,24490
show low,9000,2017,chevrolet,sonic,excellent,4 cylinders,gas,103203,clean,automatic,1G1JF5SB9H4127387,fwd,mid-size,sedan,silver,az,2021-04-06 00:19:55+00:00,2017.0 chevrolet sonic,24510
fargo / moorhead,22995,2017,chevrolet,traverse,,6 cylinders,gas,55305,clean,automatic,1GNKVHKD1HJ294966,4wd,,,grey,mn,2021-04-21 15:14:03+00:00,2017.0 chevrolet traverse,24560
eugene,660,2017,toyota,tacoma,,6 cylinders,other,39805,clean,other,3TMCZ5AN6HM109548,,,,,or,2021-05-01 16:48:52+00:00,2017.0 toyota tacoma,24575
denver,26337,2017,chrysler,300 limited*,,,gas,45644,clean,automatic,2C3CCARG5HH566578,4wd,,sedan,,co,2021-05-04 18:14:04+00:00,2017.0 chrysler 300 limited*,24615
rockford,14990,2017,ford,escape,,4 cylinders,gas,81000,clean,automatic,1FMCU9GD1HUA25004,4wd,,SUV,blue,il,2021-04-16 15:33:36+00:00,2017.0 ford escape,24645
oklahoma city,12750,2017,ford,escape,,,gas,86778,clean,automatic,1FMCU0F76HUB21346,fwd,,SUV,white,ok,2021-04-28 21:54:32+00:00,2017.0 ford escape,24645
grand rapids,21000,2017,ford,escape r4525,,,gas,21075,clean,automatic,1FMCU9G96HUE14751,4wd,,,custom,mi,2021-04-19 18:14:51+00:00,2017.0 ford escape r4525,24645
"quad cities, IA/IL",15995,2017,ford,escape,,4 cylinders,gas,87002,clean,automatic,1FMCU9JD2HUC25625,4wd,,SUV,custom,il,2021-04-24 23:02:32+00:00,2017.0 ford escape,24645
stockton,15995,2017,ford,escape,good,4 cylinders,gas,61866,clean,automatic,1FMCU9GD8HUD85872,4wd,full-size,SUV,white,ca,2021-04-24 02:20:09+00:00,2017.0 ford escape,24645
orlando,13500,2017,ford,escape,,,gas,99143,clean,automatic,1FMCU0GDXHUC27884,fwd,,SUV,white,fl,2021-05-01 13:25:05+00:00,2017.0 ford escape,24645
austin,15761,2017,ford,escape,,,gas,53319,clean,automatic,1FMCU0GD2HUA81223,fwd,,SUV,yellow,tx,2021-04-22 21:06:19+00:00,2017.0 ford escape,24645
sheboygan,14427,2017,ford,escape,excellent,4 cylinders,gas,99192,clean,automatic,1FMCU9J98HUA63172,4wd,mid-size,SUV,silver,wi,2021-04-28 16:34:33+00:00,2017.0 ford escape,24645
utica-rome-oneida,16400,2017,ford,escape,,4 cylinders,gas,72258,clean,other,1FMCU9JD9HUB78027,4wd,,SUV,grey,ny,2021-04-29 14:36:51+00:00,2017.0 ford escape,24645
seattle-tacoma,15991,2017,toyota,prius two 4dr hatchback,,,hybrid,94285,,automatic,JTDKBRFU9H3027502,,,hatchback,,wa,2021-05-04 23:57:26+00:00,2017.0 toyota prius two 4dr hatchback,24685
fayetteville,34900,2017,chevrolet,silverado 1500,like new,8 cylinders,gas,31000,clean,automatic,3GCPCTECXHG211949,rwd,full-size,truck,grey,ar,2021-04-24 14:40:36+00:00,2017.0 chevrolet silverado 1500,24705
wausau,23590,2017,ford,focus st hatchback 4d,good,,gas,18767,clean,other,1FADP3L90HL309654,fwd,,hatchback,black,wi,2021-04-22 17:21:32+00:00,2017.0 ford focus st hatchback 4d,24775
"st louis, MO",17795,2017,jeep,cherokee,like new,4 cylinders,gas,46522,clean,automatic,1C4PJLAB8HW662494,fwd,full-size,SUV,black,il,2021-04-29 22:15:59+00:00,2017.0 jeep cherokee,24790
mankato,21975,2017,jeep,cherokee,,,gas,96959,clean,automatic,1C4PJMJS1HW598479,4wd,,,,mn,2021-05-03 13:51:23+00:00,2017.0 jeep cherokee,24790
omaha / council bluffs,15995,2017,jeep,cherokee,,6 cylinders,gas,30807,,automatic,1C4PJLCS0HW573158,fwd,,SUV,red,ia,2021-05-01 14:41:17+00:00,2017.0 jeep cherokee,24790
reno / tahoe,19973,2017,jeep,cherokee,,6 cylinders,gas,83390,clean,other,1C4PJMCS2HW658752,4wd,,SUV,silver,ca,2021-04-30 15:43:03+00:00,2017.0 jeep cherokee,24790
sacramento,17500,2017,honda,accord lxsedan cvt,excellent,4 cylinders,gas,71627,,other,1HGCR2F36HA039554,,,sedan,,ca,2021-05-04 18:31:30+00:00,2017.0 honda accord lxsedan cvt,24860
lexington,16800,2017,toyota,rav4,,,gas,146573,clean,automatic,2T3RFREVXHW556290,,,SUV,silver,ky,2021-04-14 17:15:35+00:00,2017.0 toyota rav4,24910
"st louis, MO",20987,2017,toyota,rav4,,,gas,89487,clean,automatic,2T3BFREV2HW677770,,,,blue,il,2021-05-01 13:42:09+00:00,2017.0 toyota rav4,24910
dayton / springfield,24620,2017,toyota,rav4,,4 cylinders,gas,29227,clean,automatic,2T3JFREV2HW650399,4wd,,SUV,black,oh,2021-04-23 13:30:37+00:00,2017.0 toyota rav4,24910
anchorage / mat-su,25999,2017,toyota,rav 4 le,excellent,4 cylinders,gas,46699,clean,automatic,2T3BFREV0HW624050,4wd,mid-size,SUV,white,ak,2021-04-30 22:40:38+00:00,2017.0 toyota rav 4 le,24910
grand rapids,16000,2017,ford,c-max r4512,,,hybrid,37976,clean,automatic,1FADP5EU7HL107794,fwd,,,white,mi,2021-04-19 14:12:34+00:00,2017.0 ford c-max r4512,24995
omaha / council bluffs,16498,2017,gmc,terrain,,4 cylinders,,67863,clean,automatic,2GKFLTEKXH6299629,,,SUV,silver,ia,2021-04-29 17:00:53+00:00,2017.0 gmc terrain,24995
syracuse,15800,2017,gmc,terrain,good,4 cylinders,gas,74050,clean,automatic,2GKFLSEK1H6101644,4wd,,SUV,silver,ny,2021-04-18 21:31:00+00:00,2017.0 gmc terrain,24995
"kansas city, MO",16300,2017,subaru,forester 2.5i premium,excellent,4 cylinders,gas,92015,,other,JF2SJAGC5HH454366,4wd,,SUV,,ks,2021-05-03 13:41:35+00:00,2017.0 subaru forester 2.5i premium,25000
kennewick-pasco-richland,18990,2017,chevrolet,malibu lt,,,other,25957,clean,automatic,1G1ZE5ST9HF106171,fwd,,other,,wa,2021-04-10 02:02:59+00:00,2017.0 chevrolet malibu lt,25045
kennewick-pasco-richland,21593,2017,hyundai,tucson eco awd,,4 cylinders,,24992,clean,automatic,KM8J3CA2XHU291135,,,SUV,,wa,2021-04-19 20:31:04+00:00,2017.0 hyundai tucson eco awd,25100
norfolk / hampton roads,10900,2017,chevrolet,malibu 1lt,,,gas,78700,,automatic,1G1ZE5ST1HF122848,fwd,,sedan,silver,va,2021-04-30 20:33:55+00:00,2017.0 chevrolet malibu 1lt,25125
"washington, DC",14500,2017,chevrolet,malibu,,,gas,71772,clean,automatic,1G1ZB5ST6HF161489,,,sedan,silver,dc,2021-04-30 18:36:03+00:00,2017.0 chevrolet malibu,25140
modesto,15998,2017,chrysler,pacifica,excellent,,gas,42350,clean,automatic,2C4RC1CG5HR628537,fwd,,mini-van,grey,ca,2021-04-13 17:31:02+00:00,2017.0 chrysler pacifica,25175
gold country,23990,2017,ford,mustang ecoboost coupe 2d,good,,gas,12774,clean,other,1FA6P8TH0H5272428,rwd,,coupe,blue,ca,2021-04-10 16:21:02+00:00,2017.0 ford mustang ecoboost coupe 2d,25185
sacramento,14500,2017,chevrolet,malibu,,,gas,86813,clean,automatic,1G1ZB5ST1HF208380,fwd,,sedan,,ca,2021-05-03 13:00:38+00:00,2017.0 chevrolet malibu,25215
ft myers / SW florida,15995,2017,toyota,rav4,,,gas,112200,clean,automatic,JTMZFREV6HJ115920,fwd,,wagon,blue,fl,2021-05-04 14:46:13+00:00,2017.0 toyota rav4,25250
philadelphia,21900,2017,toyota,rav4,,4 cylinders,gas,25617,clean,automatic,2T3RFREV8HW694328,,,SUV,silver,pa,2021-04-30 20:03:58+00:00,2017.0 toyota rav4,25250
kalamazoo,19994,2017,toyota,rav4,,4 cylinders,gas,48242,clean,automatic,2T3RFREV1HW689276,4wd,,SUV,silver,mi,2021-04-21 20:30:42+00:00,2017.0 toyota rav4,25250
kennewick-pasco-richland,13894,2017,jeep,compass latitude fwd gas,,,gas,80391,clean,automatic,1C4NJCEB0HD163010,fwd,,SUV,red,wa,2021-04-28 22:05:53+00:00,2017.0 jeep compass latitude fwd gas,25335
knoxville,26988,2017,hyundai,santa fe,,,gas,57397,clean,automatic,KM8SRDHF3HU197972,,,,,tn,2021-05-02 13:51:05+00:00,2017.0 hyundai santa fe,25350
"st louis, MO",19985,2017,hyundai,santa fe,,,other,71802,clean,automatic,KM8SMDHF7HU183412,,,,,il,2021-05-03 18:13:46+00:00,2017.0 hyundai santa fe,25350
tucson,20995,2017,honda,accord sport,excellent,4 cylinders,gas,49491,clean,automatic,1HGCR2F65HA120197,,,sedan,,az,2021-05-02 19:45:39+00:00,2017.0 honda accord sport,25405
daytona beach,10995,2017,ford,transit connect xlt,,,gas,105000,rebuilt,automatic,NMOLS7F74H1305301,,,,,fl,2021-04-08 15:07:00+00:00,2017.0 ford transit connect xlt,25530
anchorage / mat-su,24999,2017,kia,sorento,,4 cylinders,gas,24619,clean,automatic,5XYPG4A30HG217239,fwd,,SUV,black,ak,2021-04-28 21:34:04+00:00,2017.0 kia sorento,25600
knoxville,13450,2017,kia,sorento,,,gas,115873,clean,automatic,5XYPGDA58HG198926,4wd,,wagon,black,tn,2021-04-21 15:15:36+00:00,2017.0 kia sorento,25600
nashville,12694,2017,kia,sorento,,,gas,106264,clean,automatic,5XYPG4A3XHG218026,,,,,tn,2021-04-21 23:00:03+00:00,2017.0 kia sorento,25600
sarasota-bradenton,24988,2017,subaru,outback,,,gas,38531,clean,automatic,4S4BSANC1H3329047,,,,,fl,2021-04-14 18:00:41+00:00,2017.0 subaru outback,25645
plattsburgh-adirondacks,22691,2017,subaru,outback,,,gas,51377,clean,automatic,4S4BSANC2H3301774,,,SUV,white,ny,2021-04-26 14:20:27+00:00,2017.0 subaru outback,25645
SF bay area,20981,2017,subaru,outback,,6 cylinders,gas,95721,clean,automatic,4S4BSENC6H3283934,4wd,,SUV,blue,ca,2021-05-02 23:32:53+00:00,2017.0 subaru outback,25645
bozeman,18977,2017,subaru,outback,,,gas,68831,clean,manual,4S4BSAFC5H3255534,,,SUV,,mt,2021-04-07 19:45:56+00:00,2017.0 subaru outback,25645
san antonio,21990,2017,nissan,frontier crew cab sv,good,6 cylinders,gas,77533,clean,other,1N6DD0ER4HN725240,fwd,,pickup,white,tx,2021-04-24 15:30:59+00:00,2017.0 nissan frontier crew cab sv,25750
long island,21990,2017,volkswagen,golf alltrack tsi s,good,,gas,19511,clean,other,3VWH17AU0HM509604,,,wagon,blue,ny,2021-05-04 17:21:07+00:00,2017.0 volkswagen golf alltrack tsi s,25850
los angeles,23990,2017,mazda,cx-5 touring sport utility,good,,gas,15752,clean,other,JM3KFACL4H0197860,fwd,,other,blue,ca,2021-05-04 14:12:22+00:00,2017.0 mazda cx-5 touring sport utility,25915
minneapolis / st paul,42631,2017,ford,f550 xl - 12ft flatbed -,excellent,8 cylinders,diesel,109987,,automatic,1FDUF5GT3HDA05562,,,van,,mn,2021-05-02 23:04:25+00:00,2017.0 ford f550 xl - 12ft flatbed -,25987
knoxville,14990,2017,dodge,grand caravan gt,,6 cylinders,other,139800,clean,automatic,2C4RDGEG8HR599967,fwd,,van,black,tn,2021-04-15 17:30:35+00:00,2017.0 dodge grand caravan gt,25995
hartford,27499,2017,ford,mustang,good,4 cylinders,gas,7107,clean,automatic,1FA6P8TH7H5262592,rwd,,other,red,ct,2021-05-03 16:46:48+00:00,2017.0 ford mustang,26085
tri-cities,34250,2017,ford,mustang,,,gas,24644,clean,manual,1FA6P8CF6H5305592,,,other,blue,tn,2021-04-20 15:20:14+00:00,2017.0 ford mustang,26085
ft myers / SW florida,21490,2017,ford,mustang,,,gas,82292,clean,automatic,1FA6P8TH4H5202561,rwd,,coupe,silver,fl,2021-04-23 13:06:19+00:00,2017.0 ford mustang,26085
knoxville,20990,2017,ford,mustang,,,gas,66802,clean,automatic,1FA6P8TH4H5320528,,sub-compact,coupe,yellow,tn,2021-04-30 20:40:07+00:00,2017.0 ford mustang,26085
spokane / coeur d'alene,18999,2017,ford,escape se awd,like new,4 cylinders,gas,51549,clean,automatic,1FMCU9GDXHUB41785,4wd,mid-size,SUV,white,id,2021-04-28 21:55:13+00:00,2017.0 ford escape se awd,26145
moses lake,17999,2017,honda,accord sport special fwd,,,gas,99056,clean,automatic,1HGCR2F19HA006854,fwd,,sedan,white,wa,2021-05-01 00:18:56+00:00,2017.0 honda accord sport special fwd,26215
hawaii,20995,2017,honda,accord sport se,excellent,4 cylinders,gas,43087,clean,automatic,1HGCR2F14HA170982,fwd,full-size,sedan,grey,hi,2021-05-01 21:45:17+00:00,2017.0 honda accord sport se,26250
cedar rapids,21988,2017,mini,cooper s 4-door,,4 cylinders,gas,18691,clean,automatic,WMWXU3C3XH2F48579,fwd,,hatchback,blue,ia,2021-04-16 15:29:26+00:00,2017.0 mini cooper s 4-door,26250
boston,14995,2017,dodge,journey,,,gas,86879,clean,automatic,3C4PDDBG3HT638844,,,hatchback,green,ma,2021-04-28 20:34:16+00:00,2017.0 dodge journey,26295
monterey bay,16995,2017,hyundai,santa fe sport,excellent,,gas,95659,clean,automatic,5XYZT3LBXHG493737,fwd,,SUV,,ca,2021-04-27 22:45:14+00:00,2017.0 hyundai santa fe sport,26300
boise,25995,2017,hyundai,santa fe sport,excellent,4 cylinders,gas,41767,clean,automatic,5XYZWDLA0HG407565,4wd,,SUV,,id,2021-04-29 15:16:24+00:00,2017.0 hyundai santa fe sport,26300
boston,18990,2017,dodge,grand caravan passenger se,good,6 cylinders,gas,43947,clean,other,2C4RDGBG6HR568785,fwd,,van,silver,ma,2021-04-29 20:01:24+00:00,2017.0 dodge grand caravan passenger se,26310
harrisburg,17900,2017,volkswagen,golf gti s,excellent,4 cylinders,gas,108674,clean,manual,3VW547AU6HM044028,fwd,,hatchback,grey,pa,2021-04-10 13:19:57+00:00,2017.0 volkswagen golf gti s,26415
asheville,17999,2017,buick,encore sport touring,good,,gas,20666,clean,automatic,KL4CJ2SB0HB094492,,,other,silver,nc,2021-05-01 00:40:18+00:00,2017.0 buick encore sport touring,26490
inland empire,26999,2017,chevrolet,suburban,,,gas,110702,clean,automatic,1GNSCHKC8HR211998,,full-size,SUV,,ca,2021-04-28 23:04:57+00:00,2017.0 chevrolet suburban,26520
pittsburgh,18250,2017,honda,accord ex,good,,other,28992,clean,automatic,1HGCT1B78HA010299,fwd,,coupe,,pa,2021-04-19 10:50:15+00:00,2017.0 honda accord ex,26530
minneapolis / st paul,26900,2017,chevrolet,traverse,,,gas,26730,clean,automatic,1GNKRJKD6HJ182563,fwd,,,white,mn,2021-05-04 14:20:49+00:00,2017.0 chevrolet traverse,26615
worcester / central MA,15347,2017,jeep,cherokee latitude 4x4,good,,other,79029,clean,automatic,1C4PJMCB8HW520701,4wd,,SUV,,ma,2021-04-18 20:10:36+00:00,2017.0 jeep cherokee latitude 4x4,26740
oklahoma city,14500,2017,toyota,camry hybrid,excellent,,hybrid,23500,rebuilt,automatic,4T1BD1FK3HU222298,fwd,mid-size,sedan,white,ok,2021-04-27 03:03:31+00:00,2017.0 toyota camry hybrid,26790
akron / canton,16000,2017,subaru,legacy sport,,,gas,89332,clean,,4S3BNAS63H3064612,4wd,,wagon,grey,oh,2021-05-04 13:01:46+00:00,2017.0 subaru legacy sport,26815
yakima,20500,2017,subaru,legacy 2.5i limited,,,,52012,,other,4S3BNAN68H3038325,4wd,,sedan,,wa,2021-04-23 11:31:13+00:00,2017.0 subaru legacy 2.5i limited,26845
redding,18999,2017,subaru,"forester 2.5i premium awd, w/ eyesight",,4 cylinders,gas,95592,clean,automatic,JF2SJAGC1HH578568,4wd,,wagon,white,ca,2021-04-30 00:14:34+00:00,"2017.0 subaru forester 2.5i premium awd, w/ eyesight",26870
south florida,14988,2017,kia,sedona,excellent,,gas,63444,clean,automatic,KNDMB5C1XH6269418,fwd,,mini-van,,fl,2021-05-03 18:03:17+00:00,2017.0 kia sedona,26900
des moines,15995,2017,chevrolet,trax ls,good,,other,24288,clean,automatic,3GNCJKSB4HL279348,fwd,,other,white,ia,2021-04-07 20:30:56+00:00,2017.0 chevrolet trax ls,26935
spokane / coeur d'alene,15900,2017,dodge,grand caravan,good,6 cylinders,gas,71820,clean,automatic,2C4RDGCG0HR750674,fwd,full-size,van,black,id,2021-04-30 02:43:22+00:00,2017.0 dodge grand caravan,26995
spokane / coeur d'alene,12995,2017,dodge,journey,,6 cylinders,gas,75684,clean,automatic,3C4PDDBG4HT529003,4wd,,SUV,silver,id,2021-04-29 04:00:32+00:00,2017.0 dodge journey,26995
brainerd,21999,2017,chrysler,300,,,gas,86107,clean,automatic,2C3CCAGGXHH597313,,,,black,mn,2021-04-22 14:15:50+00:00,2017.0 chrysler 300,26995
denver,20990,2017,kia,sedona lx minivan 4d,good,6 cylinders,gas,59204,clean,other,KNDMB5C13H6231643,fwd,,van,silver,co,2021-05-03 17:21:21+00:00,2017.0 kia sedona lx minivan 4d,27000
orlando,28000,2017,ford,f-150,,,gas,126451,clean,automatic,1FTEW1CF2HKE25293,fwd,,pickup,white,fl,2021-05-03 00:25:04+00:00,2017.0 ford f-150,27110
orlando,34500,2017,ford,f-150,,,gas,80528,clean,automatic,1FTEW1EP1HFC10373,4wd,,other,,fl,2021-05-02 23:45:06+00:00,2017.0 ford f-150,27110
sierra vista,26995,2017,ford,f-150,good,6 cylinders,gas,127647,clean,automatic,1FTEW1EG4HKC99766,4wd,,pickup,blue,az,2021-04-15 21:30:48+00:00,2017.0 ford f-150,27110
san antonio,27999,2017,ford,f-150,,6 cylinders,gas,92843,clean,automatic,1FTEW1CP2HKC53369,rwd,,truck,white,tx,2021-04-29 23:30:46+00:00,2017.0 ford f-150,27110
abilene,33250,2017,ford,f-150,,,gas,72440,clean,automatic,1FTEW1EG9HKC16347,4wd,,truck,blue,tx,2021-04-12 14:04:52+00:00,2017.0 ford f-150,27110
ocala,27900,2017,ford,f-150,,,other,144161,clean,automatic,1FTFW1EF8HKC50291,4wd,,other,white,fl,2021-05-02 20:24:57+00:00,2017.0 ford f-150,27110
atlanta,24898,2017,ford,f-150,,8 cylinders,gas,122606,clean,automatic,1FTEW1CF3HKD16552,rwd,,pickup,white,ga,2021-05-02 12:20:22+00:00,2017.0 ford f-150,27110
tampa bay area,35900,2017,ford,f-150,good,8 cylinders,gas,44200,clean,automatic,1FTEW1CF6HFA94372,rwd,full-size,truck,black,fl,2021-04-28 13:38:32+00:00,2017.0 ford f-150,27110
chico,15998,2017,ford,c-max energi,excellent,,hybrid,28200,clean,automatic,1FADP5EU5HL118230,,,,,ca,2021-04-06 22:34:10+00:00,2017.0 ford c-max energi,27120
mobile,28995,2017,buick,enclave,good,6 cylinders,gas,71160,clean,automatic,5GAKVCKD9HJ185667,rwd,full-size,SUV,blue,al,2021-04-12 20:56:27+00:00,2017.0 buick enclave,27130
south jersey,16199,2017,toyota,86,,,gas,84754,clean,automatic,JF1ZNAA1XH8711147,,sub-compact,coupe,white,nj,2021-04-08 13:52:17+00:00,2017.0 toyota 86,27150
appleton-oshkosh-FDL,12450,2017,chevrolet,equinox lt,,4 cylinders,gas,131232,clean,automatic,2GNALCEKXH6277434,fwd,,wagon,silver,wi,2021-04-23 14:30:07+00:00,2017.0 chevrolet equinox lt,27195
atlanta,19990,2017,honda,hr-v lx sport utility 4d,good,,gas,9808,clean,other,3CZRU5H32HM705120,,,hatchback,purple,ga,2021-05-03 22:21:01+00:00,2017.0 honda hr-v lx sport utility 4d,27200
omaha / council bluffs,12995,2017,chevrolet,impala,,6 cylinders,,68125,rebuilt,automatic,1G1105S30HU197595,fwd,,sedan,silver,ia,2021-05-04 14:50:56+00:00,2017.0 chevrolet impala,27500
bellingham,29699,2017,subaru,wrx,,4 cylinders,gas,10481,clean,manual,JF1VA1E64H9812632,4wd,,sedan,,wa,2021-04-15 16:24:41+00:00,2017.0 subaru wrx,27515
sacramento,16900,2017,subaru,wrx,,,gas,28000,salvage,automatic,JF1VA1E6XH8821521,4wd,,,,ca,2021-05-02 00:17:10+00:00,2017.0 subaru wrx,27515
ft myers / SW florida,22334,2017,subaru,wrx,excellent,,gas,52956,clean,manual,JF1VA1B69H9821430,4wd,,sedan,,fl,2021-04-08 14:00:25+00:00,2017.0 subaru wrx,27515
